,popu,area,year
835,820,山 梨 県,1983
836,2112,長 野 県,1983
837,2004,岐 阜 県,1983
838,3522,静 岡 県,1983
839,6353,愛 知 県,1983
840,1728,三 重 県,1983
841,1127,滋 賀 県,1983
842,2569,京 都 府,1983
843,8588,大 阪 府,1983
844,5227,兵 庫 県,1983
845,1273,奈 良 県,1983
846,1090,和歌山県,1983
847,612,鳥 取 県,1983
848,790,島 根 県,1983
849,1901,岡 山 県,1983
850,2793,広 島 県,1983
851,1600,山 口 県,1983
852,831,徳 島 県,1983
853,1014,香 川 県,1983
854,1522,愛 媛 県,1983
855,838,高 知 県,1983
856,4667,福 岡 県,1983
857,876,佐 賀 県,1983
858,1596,長 崎 県,1983
859,1820,熊 本 県,1983
860,1243,大 分 県,1983
861,1170,宮 崎 県,1983
862,1807,鹿児島県,1983
863,1146,沖 縄 県,1983
864,120305,全国,1984
865,5672,北 海 道,1984
866,1527,青 森 県,1984
867,1433,岩 手 県,1984
868,2161,宮 城 県,1984
869,1255,秋 田 県,1984
870,1260,山 形 県,1984
871,2071,福 島 県,1984
872,2698,茨 城 県,1984
873,1850,栃 木 県,1984
874,1908,群 馬 県,1984
875,5784,埼 玉 県,1984
876,5079,千 葉 県,1984
877,11759,東 京 都,1984
878,7328,神奈川県,1984
879,2474,新 潟 県,1984
880,1116,富 山 県,1984
881,1147,石 川 県,1984
882,813,福 井 県,1984
883,826,山 梨 県,1984
884,2125,長 野 県,1984
885,2017,岐 阜 県,1984
886,3547,静 岡 県,1984
887,6401,愛 知 県,1984
888,1737,三 重 県,1984
889,1141,滋 賀 県,1984
890,2578,京 都 府,1984
891,8632,大 阪 府,1984
892,5252,兵 庫 県,1984
893,1290,奈 良 県,1984
894,1088,和歌山県,1984
895,614,鳥 取 県,1984
896,793,島 根 県,1984
897,1909,岡 山 県,1984
898,2807,広 島 県,1984
899,1601,山 口 県,1984
900,834,徳 島 県,1984
901,1018,香 川 県,1984
902,1526,愛 媛 県,1984
903,839,高 知 県,1984
904,4697,福 岡 県,1984
905,878,佐 賀 県,1984
906,1595,長 崎 県,1984
907,1830,熊 本 県,1984
908,1248,大 分 県,1984
909,1173,宮 崎 県,1984
910,1814,鹿児島県,1984
911,1161,沖 縄 県,1984
912,121049,全国,1985
913,5679,北 海 道,1985
914,1524,青 森 県,1985
915,1434,岩 手 県,1985
916,2176,宮 城 県,1985
917,1254,秋 田 県,1985
918,1262,山 形 県,1985
919,2080,福 島 県,1985
920,2725,茨 城 県,1985
921,1866,栃 木 県,1985
922,1921,群 馬 県,1985
923,5864,埼 玉 県,1985
924,5148,千 葉 県,1985
925,11829,東 京 都,1985
926,7432,神奈川県,1985
927,2478,新 潟 県,1985
928,1118,富 山 県,1985
929,1152,石 川 県,1985
930,818,福 井 県,1985
931,833,山 梨 県,1985
932,2137,長 野 県,1985
933,2029,岐 阜 県,1985
934,3575,静 岡 県,1985
935,6455,愛 知 県,1985
936,1747,三 重 県,1985
937,1156,滋 賀 県,1985
938,2587,京 都 府,1985
939,8668,大 阪 府,1985
940,5278,兵 庫 県,1985
941,1305,奈 良 県,1985
942,1087,和歌山県,1985
943,616,鳥 取 県,1985
944,795,島 根 県,1985
945,1917,岡 山 県,1985
946,2819,広 島 県,1985
947,1602,山 口 県,1985
948,835,徳 島 県,1985
949,1023,香 川 県,1985
950,1530,愛 媛 県,1985
951,840,高 知 県,1985
952,4719,福 岡 県,1985
953,880,佐 賀 県,1985
954,1594,長 崎 県,1985
955,1838,熊 本 県,1985
956,1250,大 分 県,1985
957,1176,宮 崎 県,1985
958,1819,鹿児島県,1985
959,1179,沖 縄 県,1985
960,121660,全国,1986
961,5673,北 海 道,1986
962,1517,青 森 県,1986
963,1431,岩 手 県,1986
964,2190,宮 城 県,1986
965,1249,秋 田 県,1986
966,1262,山 形 県,1986
967,2085,福 島 県,1986
968,2746,茨 城 県,1986
969,1880,栃 木 県,1986
970,1931,群 馬 県,1986
971,5954,埼 玉 県,1986
972,5219,千 葉 県,1986
973,11888,東 京 都,1986
974,7553,神奈川県,1986
975,2478,新 潟 県,1986
976,1119,富 山 県,1986
977,1155,石 川 県,1986
978,819,福 井 県,1986
979,837,山 梨 県,1986
980,2143,長 野 県,1986
981,2036,岐 阜 県,1986
982,3597,静 岡 県,1986
983,6512,愛 知 県,1986
984,1756,三 重 県,1986
985,1166,滋 賀 県,1986
986,2595,京 都 府,1986
987,8705,大 阪 府,1986
988,5300,兵 庫 県,1986
989,1318,奈 良 県,1986
990,1083,和歌山県,1986
991,616,鳥 取 県,1986
992,793,島 根 県,1986
993,1921,岡 山 県,1986
994,2829,広 島 県,1986
995,1598,山 口 県,1986
996,835,徳 島 県,1986
997,1024,香 川 県,1986
998,1528,愛 媛 県,1986
999,838,高 知 県,1986
1000,4741,福 岡 県,1986
1001,880,佐 賀 県,1986
1002,1589,長 崎 県,1986
1003,1840,熊 本 県,1986
1004,1249,大 分 県,1986
1005,1174,宮 崎 県,1986
1006,1816,鹿児島県,1986
1007,1188,沖 縄 県,1986
1008,122239,全国,1987
1009,5660,北 海 道,1987
1010,1511,青 森 県,1987
1011,1427,岩 手 県,1987
1012,2206,宮 城 県,1987
1013,1244,秋 田 県,1987
1014,1262,山 形 県,1987
1015,2091,福 島 県,1987
1016,2769,茨 城 県,1987
1017,1895,栃 木 県,1987
1018,1941,群 馬 県,1987
1019,6071,埼 玉 県,1987
1020,5307,千 葉 県,1987
1021,11887,東 京 都,1987
1022,7684,神奈川県,1987
1023,2477,新 潟 県,1987
1024,1120,富 山 県,1987
1025,1158,石 川 県,1987
1026,822,福 井 県,1987
1027,841,山 梨 県,1987
1028,2148,長 野 県,1987
1029,2044,岐 阜 県,1987
1030,3619,静 岡 県,1987
1031,6566,愛 知 県,1987
1032,1765,三 重 県,1987
1033,1178,滋 賀 県,1987
1034,2601,京 都 府,1987
1035,8737,大 阪 府,1987
1036,5319,兵 庫 県,1987
1037,1333,奈 良 県,1987
1038,1079,和歌山県,1987
1039,616,鳥 取 県,1987
1040,792,島 根 県,1987
1041,1924,岡 山 県,1987
1042,2834,広 島 県,1987
1043,1592,山 口 県,1987
1044,835,徳 島 県,1987
1045,1024,香 川 県,1987
1046,1525,愛 媛 県,1987
1047,836,高 知 県,1987
1048,4756,福 岡 県,1987
1049,880,佐 賀 県,1987
1050,1584,長 崎 県,1987
1051,1842,熊 本 県,1987
1052,1247,大 分 県,1987
1053,1174,宮 崎 県,1987
1054,1816,鹿児島県,1987
1055,1199,沖 縄 県,1987
1056,122745,全国,1988
1057,5656,北 海 道,1988
1058,1502,青 森 県,1988
1059,1424,岩 手 県,1988
1060,2221,宮 城 県,1988
1061,1238,秋 田 県,1988
1062,1262,山 形 県,1988
1063,2095,福 島 県,1988
1064,2795,茨 城 県,1988
1065,1908,栃 木 県,1988
1066,1949,群 馬 県,1988
1067,6195,埼 玉 県,1988
1068,5403,千 葉 県,1988
1069,11873,東 京 都,1988
1070,7794,神奈川県,1988
1071,2476,新 潟 県,1988
1072,1120,富 山 県,1988
1073,1160,石 川 県,1988
1074,822,福 井 県,1988
1075,845,山 梨 県,1988
1076,2149,長 野 県,1988
1077,2051,岐 阜 県,1988
1078,3639,静 岡 県,1988
1079,6606,愛 知 県,1988
1080,1772,三 重 県,1988
1081,1191,滋 賀 県,1988
1082,2604,京 都 府,1988
1083,8748,大 阪 府,1988
1084,5344,兵 庫 県,1988
1085,1347,奈 良 県,1988
1086,1076,和歌山県,1988
1087,617,鳥 取 県,1988
1088,789,島 根 県,1988
1089,1925,岡 山 県,1988
1090,2838,広 島 県,1988
1091,1587,山 口 県,1988
1092,834,徳 島 県,1988
1093,1025,香 川 県,1988
1094,1522,愛 媛 県,1988
1095,833,高 知 県,1988
1096,4773,福 岡 県,1988
1097,880,佐 賀 県,1988
1098,1578,長 崎 県,1988
1099,1842,熊 本 県,1988
1100,1243,大 分 県,1988
1101,1173,宮 崎 県,1988
1102,1812,鹿児島県,1988
1103,1208,沖 縄 県,1988
1104,123205,全国,1989
1105,5649,北 海 道,1989
1106,1492,青 森 県,1989
1107,1419,岩 手 県,1989
1108,2236,宮 城 県,1989
1109,1232,秋 田 県,1989
1110,1260,山 形 県,1989
1111,2100,福 島 県,1989
1112,2822,茨 城 県,1989
1113,1921,栃 木 県,1989
1114,1959,群 馬 県,1989
1115,6308,埼 玉 県,1989
1116,5487,千 葉 県,1989
1117,11863,東 京 都,1989
1118,7891,神奈川県,1989
1119,2476,新 潟 県,1989
1120,1121,富 山 県,1989
1121,1163,石 川 県,1989
1122,823,福 井 県,1989
1123,849,山 梨 県,1989
1124,2153,長 野 県,1989
1125,2058,岐 阜 県,1989
1126,3657,静 岡 県,1989
1127,6649,愛 知 県,1989
1128,1782,三 重 県,1989
1129,1206,滋 賀 県,1989
1130,2604,京 都 府,1989
1131,8744,大 阪 府,1989
1132,5372,兵 庫 県,1989
1133,1363,奈 良 県,1989
1134,1074,和歌山県,1989
1135,616,鳥 取 県,1989
1136,785,島 根 県,1989
1137,1925,岡 山 県,1989
1138,2843,広 島 県,1989
1139,1581,山 口 県,1989
1140,833,徳 島 県,1989
1141,1023,香 川 県,1989
1142,1519,愛 媛 県,1989
1143,830,高 知 県,1989
1144,4793,福 岡 県,1989
1145,879,佐 賀 県,1989
1146,1570,長 崎 県,1989
1147,1841,熊 本 県,1989
1148,1240,大 分 県,1989
1149,1172,宮 崎 県,1989
1150,1805,鹿児島県,1989
1151,1215,沖 縄 県,1989
1152,123611,全国,1990
1153,5644,北 海 道,1990
1154,1483,青 森 県,1990
1155,1417,岩 手 県,1990
1156,2249,宮 城 県,1990
1157,1227,秋 田 県,1990
1158,1258,山 形 県,1990
1159,2104,福 島 県,1990
1160,2845,茨 城 県,1990
1161,1935,栃 木 県,1990
1162,1966,群 馬 県,1990
1163,6405,埼 玉 県,1990
1164,5555,千 葉 県,1990
1165,11856,東 京 都,1990
1166,7980,神奈川県,1990
1167,2475,新 潟 県,1990
1168,1120,富 山 県,1990
1169,1165,石 川 県,1990
1170,824,福 井 県,1990
1171,853,山 梨 県,1990
1172,2157,長 野 県,1990
1173,2067,岐 阜 県,1990
1174,3671,静 岡 県,1990
1175,6691,愛 知 県,1990
1176,1793,三 重 県,1990
1177,1222,滋 賀 県,1990
1178,2602,京 都 府,1990
1179,8735,大 阪 府,1990
1180,5405,兵 庫 県,1990
1181,1375,奈 良 県,1990
1182,1074,和歌山県,1990
1183,616,鳥 取 県,1990
1184,781,島 根 県,1990
1185,1926,岡 山 県,1990
1186,2850,広 島 県,1990
1187,1573,山 口 県,1990
1188,832,徳 島 県,1990
1189,1023,香 川 県,1990
1190,1515,愛 媛 県,1990
1191,825,高 知 県,1990
1192,4811,福 岡 県,1990
1193,878,佐 賀 県,1990
1194,1563,長 崎 県,1990
1195,1840,熊 本 県,1990
1196,1237,大 分 県,1990
1197,1169,宮 崎 県,1990
1198,1798,鹿児島県,1990
1199,1222,沖 縄 県,1990
1200,124101,全国,1991
1201,5650,北 海 道,1991
1202,1479,青 森 県,1991
1203,1416,岩 手 県,1991
1204,2267,宮 城 県,1991
1205,1223,秋 田 県,1991
1206,1257,山 形 県,1991
1207,2109,福 島 県,1991
1208,2871,茨 城 県,1991
1209,1948,栃 木 県,1991
1210,1974,群 馬 県,1991
1211,6486,埼 玉 県,1991
1212,5617,千 葉 県,1991
1213,11894,東 京 都,1991
1214,8050,神奈川県,1991
1215,2475,新 潟 県,1991
1216,1121,富 山 県,1991
1217,1167,石 川 県,1991
1218,823,福 井 県,1991
1219,860,山 梨 県,1991
1220,2162,長 野 県,1991
1221,2073,岐 阜 県,1991
1222,3687,静 岡 県,1991
1223,6729,愛 知 県,1991
1224,1803,三 重 県,1991
1225,1235,滋 賀 県,1991
1226,2608,京 都 府,1991
1227,8750,大 阪 府,1991
1228,5426,兵 庫 県,1991
1229,1388,奈 良 県,1991
1230,1076,和歌山県,1991
1231,615,鳥 取 県,1991
1232,778,島 根 県,1991
1233,1930,岡 山 県,1991
1234,2859,広 島 県,1991
1235,1569,山 口 県,1991
1236,831,徳 島 県,1991
1237,1023,香 川 県,1991
1238,1513,愛 媛 県,1991
1239,822,高 知 県,1991
1240,4834,福 岡 県,1991
1241,878,佐 賀 県,1991
1242,1557,長 崎 県,1991
1243,1844,熊 本 県,1991
1244,1235,大 分 県,1991
1245,1167,宮 崎 県,1991
1246,1793,鹿児島県,1991
1247,1230,沖 縄 県,1991
1248,124567,全国,1992
1249,5661,北 海 道,1992
1250,1476,青 森 県,1992
1251,1416,岩 手 県,1992
1252,2283,宮 城 県,1992
1253,1220,秋 田 県,1992
1254,1257,山 形 県,1992
1255,2116,福 島 県,1992
1256,2898,茨 城 県,1992
1257,1959,栃 木 県,1992
1258,1984,群 馬 県,1992
1259,6567,埼 玉 県,1992
1260,5679,千 葉 県,1992
1261,11887,東 京 都,1992
1262,8116,神奈川県,1992
1263,2476,新 潟 県,1992
1264,1120,富 山 県,1992
1265,1171,石 川 県,1992
1266,823,福 井 県,1992
1267,865,山 梨 県,1992
1268,2169,長 野 県,1992
1269,2082,岐 阜 県,1992
1270,3704,静 岡 県,1992
1271,6776,愛 知 県,1992
1272,1814,三 重 県,1992
1273,1248,滋 賀 県,1992
1274,2615,京 都 府,1992
1275,8761,大 阪 府,1992
1276,5443,兵 庫 県,1992
1277,1400,奈 良 県,1992
1278,1076,和歌山県,1992
1279,615,鳥 取 県,1992
1280,775,島 根 県,1992
1281,1935,岡 山 県,1992
1282,2867,広 島 県,1992
1283,1565,山 口 県,1992
1284,830,徳 島 県,1992
1285,1024,香 川 県,1992
1286,1511,愛 媛 県,1992
1287,819,高 知 県,1992
1288,4859,福 岡 県,1992
1289,879,佐 賀 県,1992
1290,1552,長 崎 県,1992
1291,1846,熊 本 県,1992
1292,1233,大 分 県,1992
1293,1167,宮 崎 県,1992
1294,1789,鹿児島県,1992
1295,1239,沖 縄 県,1992
1296,124938,全国,1993
1297,5669,北 海 道,1993
1298,1476,青 森 県,1993
1299,1417,岩 手 県,1993
1300,2299,宮 城 県,1993
1301,1217,秋 田 県,1993
1302,1256,山 形 県,1993
1303,2123,福 島 県,1993
1304,2920,茨 城 県,1993
1305,1969,栃 木 県,1993
1306,1990,群 馬 県,1993
1307,6640,埼 玉 県,1993
1308,5731,千 葉 県,1993
1309,11849,東 京 都,1993
1310,8166,神奈川県,1993
1311,2479,新 潟 県,1993
1312,1121,富 山 県,1993
1313,1173,石 川 県,1993
1314,824,福 井 県,1993
1315,871,山 梨 県,1993
1316,2175,長 野 県,1993
1317,2089,岐 阜 県,1993
1318,3716,静 岡 県,1993
1319,6810,愛 知 県,1993
1320,1823,三 重 県,1993
1321,1261,滋 賀 県,1993
1322,2618,京 都 府,1993
1323,8762,大 阪 府,1993
1324,5457,兵 庫 県,1993
1325,1412,奈 良 県,1993
1326,1077,和歌山県,1993
1327,614,鳥 取 県,1993
1328,773,島 根 県,1993
1329,1940,岡 山 県,1993
1330,2873,広 島 県,1993
1331,1561,山 口 県,1993
1332,831,徳 島 県,1993
1333,1025,香 川 県,1993
1334,1508,愛 媛 県,1993
1335,817,高 知 県,1993
1336,4885,福 岡 県,1993
1337,880,佐 賀 県,1993
1338,1550,長 崎 県,1993
1339,1850,熊 本 県,1993
1340,1231,大 分 県,1993
1341,1171,宮 崎 県,1993
1342,1788,鹿児島県,1993
1343,1250,沖 縄 県,1993
1344,125265,全国,1994
1345,5681,北 海 道,1994
1346,1480,青 森 県,1994
1347,1418,岩 手 県,1994
1348,2313,宮 城 県,1994
1349,1216,秋 田 県,1994
1350,1256,山 形 県,1994
1351,2129,福 島 県,1994
1352,2940,茨 城 県,1994
1353,1977,栃 木 県,1994
1354,1996,群 馬 県,1994
1355,6703,埼 玉 県,1994
1356,5767,千 葉 県,1994
1357,11796,東 京 都,1994
1358,8207,神奈川県,1994
1359,2484,新 潟 県,1994
1360,1121,富 山 県,1994
1361,1176,石 川 県,1994
1362,825,福 井 県,1994
1363,877,山 梨 県,1994
1364,2184,長 野 県,1994
1365,2095,岐 阜 県,1994
1366,3729,静 岡 県,1994
1367,6839,愛 知 県,1994
1368,1833,三 重 県,1994
1369,1273,滋 賀 県,1994
1370,2622,京 都 府,1994
1371,8759,大 阪 府,1994
1372,5469,兵 庫 県,1994
1373,1420,奈 良 県,1994
1374,1080,和歌山県,1994
1375,614,鳥 取 県,1994
1376,772,島 根 県,1994
1377,1945,岡 山 県,1994
1378,2877,広 島 県,1994
1379,1559,山 口 県,1994
1380,830,徳 島 県,1994
1381,1026,香 川 県,1994
1382,1508,愛 媛 県,1994
1383,817,高 知 県,1994
1384,4909,福 岡 県,1994
1385,883,佐 賀 県,1994
1386,1549,長 崎 県,1994
1387,1855,熊 本 県,1994
1388,1232,大 分 県,1994
1389,1174,宮 崎 県,1994
1390,1791,鹿児島県,1994
1391,1262,沖 縄 県,1994
1392,125570,全国,1995
1393,5692,北 海 道,1995
1394,1482,青 森 県,1995
1395,1420,岩 手 県,1995
1396,2329,宮 城 県,1995
1397,1214,秋 田 県,1995
1398,1257,山 形 県,1995
1399,2134,福 島 県,1995
1400,2956,茨 城 県,1995
1401,1984,栃 木 県,1995
1402,2004,群 馬 県,1995
1403,6759,埼 玉 県,1995
1404,5798,千 葉 県,1995
1405,11774,東 京 都,1995
1406,8246,神奈川県,1995
1407,2488,新 潟 県,1995
1408,1123,富 山 県,1995
1409,1180,石 川 県,1995
1410,827,福 井 県,1995
1411,882,山 梨 県,1995
1412,2194,長 野 県,1995
1413,2100,岐 阜 県,1995
1414,3738,静 岡 県,1995
1415,6868,愛 知 県,1995
1416,1841,三 重 県,1995
1417,1287,滋 賀 県,1995
1418,2630,京 都 府,1995
1419,8797,大 阪 府,1995
1420,5402,兵 庫 県,1995
1421,1431,奈 良 県,1995
1422,1080,和歌山県,1995
1423,615,鳥 取 県,1995
1424,771,島 根 県,1995
1425,1951,岡 山 県,1995
1426,2882,広 島 県,1995
1427,1556,山 口 県,1995
1428,832,徳 島 県,1995
1429,1027,香 川 県,1995
1430,1507,愛 媛 県,1995
1431,817,高 知 県,1995
1432,4933,福 岡 県,1995
1433,884,佐 賀 県,1995
1434,1545,長 崎 県,1995
1435,1860,熊 本 県,1995
1436,1231,大 分 県,1995
1437,1176,宮 崎 県,1995
1438,1794,鹿児島県,1995
1439,1273,沖 縄 県,1995
1440,125859,全国,1996
1441,5697,北 海 道,1996
1442,1483,青 森 県,1996
1443,1420,岩 手 県,1996
1444,2338,宮 城 県,1996
1445,1210,秋 田 県,1996
1446,1255,山 形 県,1996
1447,2134,福 島 県,1996
1448,2966,茨 城 県,1996
1449,1991,栃 木 県,1996
1450,2009,群 馬 県,1996
1451,6804,埼 玉 県,1996
1452,5817,千 葉 県,1996
1453,11808,東 京 都,1996
1454,8279,神奈川県,1996
1455,2490,新 潟 県,1996
1456,1125,富 山 県,1996
1457,1181,石 川 県,1996
1458,828,福 井 県,1996
1459,885,山 梨 県,1996
1460,2203,長 野 県,1996
1461,2104,岐 阜 県,1996
1462,3745,静 岡 県,1996
1463,6897,愛 知 県,1996
1464,1846,三 重 県,1996
1465,1298,滋 賀 県,1996
1466,2634,京 都 府,1996
1467,8807,大 阪 府,1996
1468,5421,兵 庫 県,1996
1469,1437,奈 良 県,1996
1470,1079,和歌山県,1996
1471,615,鳥 取 県,1996
1472,770,島 根 県,1996
1473,1951,岡 山 県,1996
1474,2881,広 島 県,1996
1475,1550,山 口 県,1996
1476,831,徳 島 県,1996
1477,1027,香 川 県,1996
1478,1505,愛 媛 県,1996
1479,816,高 知 県,1996
1480,4952,福 岡 県,1996
1481,884,佐 賀 県,1996
1482,1540,長 崎 県,1996
1483,1861,熊 本 県,1996
1484,1230,大 分 県,1996
1485,1177,宮 崎 県,1996
1486,1793,鹿児島県,1996
1487,1282,沖 縄 県,1996
1488,126157,全国,1997
1489,5699,北 海 道,1997
1490,1481,青 森 県,1997
1491,1419,岩 手 県,1997
1492,2348,宮 城 県,1997
1493,1205,秋 田 県,1997
1494,1253,山 形 県,1997
1495,2134,福 島 県,1997
1496,2973,茨 城 県,1997
1497,1996,栃 木 県,1997
1498,2013,群 馬 県,1997
1499,6841,埼 玉 県,1997
1500,5839,千 葉 県,1997
1501,11881,東 京 都,1997
1502,8319,神奈川県,1997
1503,2490,新 潟 県,1997
1504,1124,富 山 県,1997
1505,1181,石 川 県,1997
1506,828,福 井 県,1997
1507,886,山 梨 県,1997
1508,2207,長 野 県,1997
1509,2106,岐 阜 県,1997
1510,3752,静 岡 県,1997
1511,6931,愛 知 県,1997
1512,1851,三 重 県,1997
1513,1310,滋 賀 県,1997
1514,2638,京 都 府,1997
1515,8808,大 阪 府,1997
1516,5455,兵 庫 県,1997
1517,1442,奈 良 県,1997
1518,1078,和歌山県,1997
1519,614,鳥 取 県,1997
1520,768,島 根 県,1997
1521,1952,岡 山 県,1997
1522,2882,広 島 県,1997
1523,1545,山 口 県,1997
1524,830,徳 島 県,1997
1525,1026,香 川 県,1997
1526,1503,愛 媛 県,1997
1527,816,高 知 県,1997
1528,4971,福 岡 県,1997
1529,882,佐 賀 県,1997
1530,1533,長 崎 県,1997
1531,1861,熊 本 県,1997
1532,1228,大 分 県,1997
1533,1175,宮 崎 県,1997
1534,1792,鹿児島県,1997
1535,1289,沖 縄 県,1997
1536,126472,全国,1998
1537,5695,北 海 道,1998
1538,1479,青 森 県,1998
1539,1419,岩 手 県,1998
1540,2355,宮 城 県,1998
1541,1200,秋 田 県,1998
1542,1251,山 形 県,1998
1543,2132,福 島 県,1998
1544,2980,茨 城 県,1998
1545,2001,栃 木 県,1998
1546,2017,群 馬 県,1998
1547,6877,埼 玉 県,1998
1548,5867,千 葉 県,1998
1549,11939,東 京 都,1998
1550,8383,神奈川県,1998
1551,2488,新 潟 県,1998
1552,1124,富 山 県,1998
1553,1181,石 川 県,1998
1554,828,福 井 県,1998
1555,888,山 梨 県,1998
1556,2210,長 野 県,1998
1557,2108,岐 阜 県,1998
1558,3758,静 岡 県,1998
1559,6973,愛 知 県,1998
1560,1855,三 重 県,1998
1561,1323,滋 賀 県,1998
1562,2643,京 都 府,1998
1563,8813,大 阪 府,1998
1564,5494,兵 庫 県,1998
1565,1443,奈 良 県,1998
1566,1076,和歌山県,1998
1567,615,鳥 取 県,1998
1568,765,島 根 県,1998
1569,1953,岡 山 県,1998
1570,2882,広 島 県,1998
1571,1540,山 口 県,1998
1572,829,徳 島 県,1998
1573,1025,香 川 県,1998
1574,1501,愛 媛 県,1998
1575,816,高 知 県,1998
1576,4990,福 岡 県,1998
1577,881,佐 賀 県,1998
1578,1526,長 崎 県,1998
1579,1862,熊 本 県,1998
1580,1226,大 分 県,1998
1581,1173,宮 崎 県,1998
1582,1790,鹿児島県,1998
1583,1298,沖 縄 県,1998
1584,126667,全国,1999
1585,5689,北 海 道,1999
1586,1477,青 森 県,1999
1587,1417,岩 手 県,1999
1588,2360,宮 城 県,1999
1589,1195,秋 田 県,1999
1590,1247,山 形 県,1999
1591,2129,福 島 県,1999
1592,2981,茨 城 県,1999
1593,2003,栃 木 県,1999
1594,2020,群 馬 県,1999
1595,6906,埼 玉 県,1999
1596,5893,千 葉 県,1999
1597,11983,東 京 都,1999
1598,8432,神奈川県,1999
1599,2482,新 潟 県,1999
1600,1122,富 山 県,1999
1601,1180,石 川 県,1999
1602,828,福 井 県,1999
1603,887,山 梨 県,1999
1604,2210,長 野 県,1999
1605,2107,岐 阜 県,1999
1606,3761,静 岡 県,1999
1607,7006,愛 知 県,1999
1608,1856,三 重 県,1999
1609,1332,滋 賀 県,1999
1610,2645,京 都 府,1999
1611,8813,大 阪 府,1999
1612,5528,兵 庫 県,1999
1613,1444,奈 良 県,1999
1614,1074,和歌山県,1999
1615,614,鳥 取 県,1999
1616,763,島 根 県,1999
1617,1953,岡 山 県,1999
1618,2881,広 島 県,1999
1619,1535,山 口 県,1999
1620,827,徳 島 県,1999
1621,1025,香 川 県,1999
1622,1496,愛 媛 県,1999
1623,815,高 知 県,1999
1624,5002,福 岡 県,1999
1625,879,佐 賀 県,1999
1626,1520,長 崎 県,1999
1627,1861,熊 本 県,1999
1628,1224,大 分 県,1999
1629,1172,宮 崎 県,1999
1630,1788,鹿児島県,1999
1631,1308,沖 縄 県,1999
